TIMESTAMP;TEMPERATURA_MAR (ºC);TEMPERATURA_AMBIENTAL (ºC);VELOCIDAD_VIENTO (km/h);ESTADO_DEL_MAR (Douglas);PRESENCIA_DE_MEDUSAS;ESPECIES_DE_MEDUSAS;LLUVIA (mm/hora)
2021-06-01T06:00:00.000Z;5.193979716888741;33.31415592034813;9.406475633382243;8;2;Medusa Común,Medusa de puntos blancos;19.963060015545366
2021-06-01T07:00:00.000Z;25.210852863621962;32.78423677270045;17.99335128721055;3;1;Medusa de puntos blancos;4.34818375586727
2021-06-01T08:00:00.000Z;20.818732258578613;28.179618767777576;14.755245601519817;4;2;;71.91792514876839
2021-06-01T09:00:00.000Z;8.501186325268877;31.55537812728116;12.036074081865875;9;2;;4.646607551964186
2021-06-01T10:00:00.000Z;5.788594980218014;18.443668881079983;31.86040189322324;0;3;Medusa Mosaico,Medusa Luminiscente;94.30352133050037
2021-06-01T11:00:00.000Z;10.750354421793428;17.02554392734143;21.430127790505374;6;3;;1.2993739232778978
2021-06-01T12:00:00.000Z;26.542497866715912;25.648393479108854;7.3211064573824824;6;3;;45.468720572727435
2021-06-01T13:00:00.000Z;23.069012558707588;29.29110607981784;26.099452347621906;2;2;Medusa Luminiscente,Medusa Común;2.70983550095405
2021-06-01T14:00:00.000Z;8.446220244644657;27.96306267688354;8.769062240725;1;1;Gran Medusa de Huevo Frito;112.9522748784858
2021-06-01T15:00:00.000Z;11.356915545400692;13.924667881626249;16.858110702944103;9;3;;37.294205262223144
2021-06-01T16:00:00.000Z;16.789337672372575;28.249554591264925;28.864782403548077;8;2;;85.92985260524452
2021-06-01T17:00:00.000Z;22.97646622981797;19.409227909160332;26.42012221781944;1;2;;16.688308534440985
2021-06-01T18:00:00.000Z;16.12174885057511;21.406616838113692;19.717299597172513;0;1;Medusa Mosaico;113.55639821828524
2021-06-01T19:00:00.000Z;11.9787472830862;37.49578708389804;3.5731154692342937;3;2;Medusa Mosaico,Aguamala;16.547282164228314
2021-06-01T20:00:00.000Z;15.855751314771108;27.1092860544025;22.79669503445847;5;3;Gran Medusa de Huevo Frito;28.487756427465733
2021-06-01T21:00:00.000Z;20.992030251252096;16.588998241748673;34.55549390800751;1;3;;72.52536017768674
2021-06-01T22:00:00.000Z;13.672089741258189;34.83274826486135;10.628537080007465;10;2;Medusa Común;28.782833343419057
2021-06-02T06:00:00.000Z;27.102821775066566;18.27274108942802;38.91251691933515;9;3;Medusa Luminiscente,Medusa Común;51.136953258180704
2021-06-02T07:00:00.000Z;12.020821498245223;37.7730517835908;3.0870944267651446;1;2;;111.71139503274465
2021-06-02T08:00:00.000Z;9.058659516314936;33.10080930960463;32.379818877874115;6;1;Medusa Común;89.48958853757321
2021-06-02T09:00:00.000Z;27.135994876912;34.63371355071696;30.74908650608822;10;1;;45.163793761586405
2021-06-02T10:00:00.000Z;22.24791059965624;32.61618875299665;12.439013694013585;0;2;Medusa Luminiscente;104.77272719865414
2021-06-02T11:00:00.000Z;14.983515088895796;25.928826288774253;2.860579135796124;8;3;Medusa Común,Medusa Luminiscente;81.7789783056035
2021-06-02T12:00:00.000Z;9.78005131915858;25.539201060701586;24.476404925870057;0;3;Aguamala,Medusa Luminiscente;92.48378510839386
2021-06-02T13:00:00.000Z;27.576526732315678;16.1682487365333;14.944962831990924;4;2;Medusa Común;70.51569342838286
2021-06-02T14:00:00.000Z;8.709662240014097;14.941530224490066;11.23581535274016;8;1;Medusa Mosaico;16.843047723986846
2021-06-02T15:00:00.000Z;6.662240546949645;28.152600318573313;0.9166273971449179;1;3;Aguamala,Medusa Luminiscente;86.72720985830823
2021-06-02T16:00:00.000Z;10.716778369093687;17.949724022881316;33.40218847222271;3;3;;21.43682939095867
2021-06-02T17:00:00.000Z;23.200284590584165;12.240351511675138;24.360276554909763;6;2;;51.17488636971038
2021-06-02T18:00:00.000Z;14.79972785867641;34.80356464688436;38.60620246748127;9;3;Medusa de puntos blancos,Medusa Comestible;40.05115302852551
2021-06-02T19:00:00.000Z;25.607734608710114;36.65016691515411;22.57783186683333;0;1;;9.240749155245114
2021-06-02T20:00:00.000Z;17.087298130035183;31.389168915995192;22.99964350103849;7;2;Medusa Común;116.57945999570997
2021-06-02T21:00:00.000Z;15.79159482887315;17.411767646637525;8.856916491753708;9;2;Medusa de puntos blancos;15.354649111275931
2021-06-02T22:00:00.000Z;25.62553578978777;27.00877170215651;14.207401964618267;10;3;Medusa Comestible;29.113667891038418
2021-06-03T06:00:00.000Z;15.48147386382546;25.14607347078774;30.675135748606035;6;3;;38.78046058333229
2021-06-03T07:00:00.000Z;24.31997229451126;29.207065655227833;32.874911631794916;7;3;Medusa Mosaico;36.54763415214002
2021-06-03T08:00:00.000Z;15.292175748449537;15.2943470065115;9.405291058947745;3;2;Medusa Luminiscente;97.25444535654246
2021-06-03T09:00:00.000Z;9.038881103192134;12.959763906080688;35.95564279519348;10;1;Medusa de puntos blancos;50.032606964451
2021-06-03T10:00:00.000Z;20.531766942754743;15.752628153878796;33.89865995469555;9;1;;71.71170581277988
2021-06-03T11:00:00.000Z;6.6553277379594675;18.951452730129702;3.7514799036864233;4;3;Aguamala,Medusa Mosaico;112.50545102695928
2021-06-03T12:00:00.000Z;10.830374443886932;19.297291892257636;33.154162201840336;2;3;Medusa Común;5.721303574555803
2021-06-03T13:00:00.000Z;22.232888973925657;11.522537325412554;26.69863270566286;7;1;;69.77897283719355
2021-06-03T14:00:00.000Z;23.698323287567135;16.758330492720003;0.4537102431371487;6;2;Aguamala;22.753824374983083
2021-06-03T15:00:00.000Z;11.082451268904059;28.32343283521533;38.90353733324247;10;2;Gran Medusa de Huevo Frito,Medusa Mosaico;119.0906859870914
2021-06-03T16:00:00.000Z;9.621425977658069;32.36930706702647;34.66405932189951;10;2;Medusa Comestible;11.417210602308474
2021-06-03T17:00:00.000Z;13.449987539892113;12.363272805908998;20.145052885325416;1;3;;36.75263752803559
2021-06-03T18:00:00.000Z;21.02423060782347;25.921053409060125;30.185198241701254;6;1;Medusa Comestible;107.37673891380825
